Table Name,com_drf_rate_conf_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,"supported sample rate, PLL clock and operation clock combination, this table is indexed by [drf_rate] (need 8-bit). Bit fields stage_active specifies filter setting when in manual mode; for auto mode, only sys_rate and ant_rate are needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,,,,,,,,,,,,,,
Bit Field Name,,,res_31_27,,,,,smpl_per_clk,,,,stage_active,,,,,,,,,,,smpl_fmt,sys_rate,,,,,ant_rate,,,pll_clk,,f_clk,,,,,,,,,,,,,,,,
Bit Field Description,,,reserved,,,,,"num of samples per clock, based on ant_rate",,,,"each of these 11 bits indicating corresponding filter (from low to high: TBF1, TBF1I/D, TBF2, TBF2I/D, HBF1, FBF1, HBF2, HBF3, HBF4, HBF5 and HBF6) is active or not",,,,,,,,,,,"data use IQ format or Real at sample I/F. 0: IQ, 1: Real","supoorted DRF input rate in MSPS, 0:245.76, 1:368.64, 2: 491.52, 3:737.28, 4:983.04, 5:1474.56, 6:1966.08, 7:2949.12, 8:3932.16, 9:5898.24, 10:7864.32, 11:11796.48",,,,,"supported DRF output rate, 0:3s/clk, 1:4s/clk, 2:6s/clk, 3:8s/clk, 4:12s/clk, 5:16s/clk",,,"PLL clock, 0: 15.72864GHz, 1: 17.69472GHz, 2: 23.59296GHz",,"operation clock, 0:983.04MHz, 1: 1474.56MHz. VHA/V2D/DRF should have same operation clock",,,,,,,,,,,,,,,,
Unit [string],,,value,,,,,value,,,,bits,,,,,,,,,,,bit,value,,,,,value,,,value,,bit,,,,,,,,,,,,,,,,
,,,0,,,,,6,,,,13,,,,,,,,,,,0,6,,,,,2,,,1,,1,19,,,,,0,0,0,0,0,0,0,1,1,0,1
,,,0,,,,,12,,,,65,,,,,,,,,,,0,6,,,,,4,,,2,,0,36,,,,,0,0,0,0,1,0,0,0,0,0,1
,,,0,,,,,8,,,,65,,,,,,,,,,,0,6,,,,,3,,,2,,1,29,,,,,0,0,0,0,1,0,0,0,0,0,1
,,,0,,,,,16,,,,208,,,,,,,,,,,0,6,,,,,5,,,0,,0,40,,,,,0,0,0,1,1,0,1,0,0,0,0
,,,0,,,,,12,,,,5,,,,,,,,,,,0,6,,,,,4,,,1,,1,35,,,,,0,0,0,0,0,0,0,0,1,0,1
,,,0,,,,,16,,,,193,,,,,,,,,,,0,6,,,,,5,,,2,,1,45,,,,,0,0,0,1,1,0,0,0,0,0,1
,,,0,,,,,3,,,,0,,,,,,,,,,,0,7,,,,,0,,,2,,0,4,,"e_SYS_RATE_IQ_3, 11 entries",,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,3,,,,0,,,,,,,,,,,0,7,,,,,0,,,1,,1,3,,,,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,6,,,,16,,,,,,,,,,,0,7,,,,,2,,,2,,0,20,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,4,,,,16,,,,,,,,,,,0,7,,,,,1,,,2,,1,13,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,8,,,,48,,,,,,,,,,,0,7,,,,,3,,,0,,0,24,,,,,0,0,0,0,0,1,1,0,0,0,0
,,,0,,,,,6,,,,1,,,,,,,,,,,0,7,,,,,2,,,1,,1,19,,,,,0,0,0,0,0,0,0,0,0,0,1
,,,0,,,,,12,,,,80,,,,,,,,,,,0,7,,,,,4,,,2,,0,36,,,,,0,0,0,0,1,0,1,0,0,0,0
,,,0,,,,,8,,,,80,,,,,,,,,,,0,7,,,,,3,,,2,,1,29,,,,,0,0,0,0,1,0,1,0,0,0,0
,,,0,,,,,16,,,,112,,,,,,,,,,,0,7,,,,,5,,,0,,0,40,,,,,0,0,0,0,1,1,1,0,0,0,0
,,,0,,,,,12,,,,65,,,,,,,,,,,0,7,,,,,4,,,1,,1,35,,,,,0,0,0,0,1,0,0,0,0,0,1
,,,0,,,,,16,,,,208,,,,,,,,,,,0,7,,,,,5,,,2,,1,45,,,,,0,0,0,1,1,0,1,0,0,0,0
,,,0,,,,,4,,,,0,,,,,,,,,,,0,8,,,,,1,,,0,,0,8,,"e_SYS_RATE_IQ_4, 10 entries",,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,6,,,,3,,,,,,,,,,,0,8,,,,,2,,,2,,0,20,,,,,0,0,0,0,0,0,0,0,0,1,1
,,,0,,,,,4,,,,3,,,,,,,,,,,0,8,,,,,1,,,2,,1,13,,,,,0,0,0,0,0,0,0,0,0,1,1
,,,0,,,,,8,,,,16,,,,,,,,,,,0,8,,,,,3,,,0,,0,24,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,6,,,,15,,,,,,,,,,,0,8,,,,,2,,,1,,1,19,,,,,0,0,0,0,0,0,0,1,1,1,1
,,,0,,,,,12,,,,1,,,,,,,,,,,0,8,,,,,4,,,2,,0,36,,,,,0,0,0,0,0,0,0,0,0,0,1
,,,0,,,,,8,,,,1,,,,,,,,,,,0,8,,,,,3,,,2,,1,29,,,,,0,0,0,0,0,0,0,0,0,0,1
,,,0,,,,,16,,,,80,,,,,,,,,,,0,8,,,,,5,,,0,,0,40,,,,,0,0,0,0,1,0,1,0,0,0,0
,,,0,,,,,12,,,,7,,,,,,,,,,,0,8,,,,,4,,,1,,1,35,,,,,0,0,0,0,0,0,0,0,1,1,1
,,,0,,,,,16,,,,65,,,,,,,,,,,0,8,,,,,5,,,2,,1,45,,,,,0,0,0,0,1,0,0,0,0,0,1
,,,0,,,,,6,,,,0,,,,,,,,,,,0,9,,,,,2,,,2,,0,20,,"e_SYS_RATE_IQ_6, 7 entries",,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,4,,,,0,,,,,,,,,,,0,9,,,,,1,,,2,,1,13,,,,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,6,,,,3,,,,,,,,,,,0,9,,,,,2,,,1,,1,19,,,,,0,0,0,0,0,0,0,0,0,1,1
,,,0,,,,,12,,,,16,,,,,,,,,,,0,9,,,,,4,,,2,,0,36,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,8,,,,16,,,,,,,,,,,0,9,,,,,3,,,2,,1,29,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,12,,,,1,,,,,,,,,,,0,9,,,,,4,,,1,,1,35,,,,,0,0,0,0,0,0,0,0,0,0,1
,,,0,,,,,16,,,,80,,,,,,,,,,,0,9,,,,,5,,,2,,1,45,,,,,0,0,0,0,1,0,1,0,0,0,0
,,,0,,,,,8,,,,0,,,,,,,,,,,0,10,,,,,3,,,0,,0,24,,"e_SYS_RATE_IQ_8, 6 entries",,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,12,,,,3,,,,,,,,,,,0,10,,,,,4,,,2,,0,36,,,,,0,0,0,0,0,0,0,0,0,1,1
,,,0,,,,,8,,,,3,,,,,,,,,,,0,10,,,,,3,,,2,,1,29,,,,,0,0,0,0,0,0,0,0,0,1,1
,,,0,,,,,16,,,,16,,,,,,,,,,,0,10,,,,,5,,,0,,0,40,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,12,,,,15,,,,,,,,,,,0,10,,,,,4,,,1,,1,35,,,,,0,0,0,0,0,0,0,1,1,1,1
,,,0,,,,,16,,,,1,,,,,,,,,,,0,10,,,,,5,,,2,,1,45,,,,,0,0,0,0,0,0,0,0,0,0,1
,,,0,,,,,6,,,,0,,,,,,,,,,,0,11,,,,,2,,,1,,1,19,,"e_SYS_RATE_IQ_12, 4 entries",,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,12,,,,0,,,,,,,,,,,0,11,,,,,4,,,2,,0,36,,,,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,12,,,,3,,,,,,,,,,,0,11,,,,,4,,,1,,1,35,,,,,0,0,0,0,0,0,0,0,0,1,1
,,,0,,,,,16,,,,16,,,,,,,,,,,0,11,,,,,5,,,2,,1,45,,,,,0,0,0,0,0,0,1,0,0,0,0
,,,0,,,,,3,,,,0,,,,,,,,,,,1,21,,,,,0,,,2,,0,4,,e_SYS_RATE_R_3,,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,4,,,,0,,,,,,,,,,,1,22,,,,,1,,,0,,0,8,,e_SYS_RATE_R_4,,,0,0,0,0,0,0,0,0,0,0,0
,,,0,,,,,6,,,,0,,,,,,,,,,,1,23,,,,,2,,,2,,0,20,,e_SYS_RATE_R_6,,,0,0,0,0,0,0,0,0,0,0,0
