0x02803800, vexabc0_gp_ve32_tile_ctrl
0x02804000, vexabc0_dmem_ve32_bp_cfg
0x02808000, vexabc0_pmem_ve32_bp_cfg
0x02828000, vexabc0_vmem_ve32_simd0
0x02838000, vexabc0_lutmem_ve32_simd0
0x02840000, vexabc1_sc_ve32_cell
0x02841000, vexabc1_c2s_cio2strm
0x02842000, vexabc1_s2c_strm2cio
0x02843000, vexabc1_tm_ve32_tile_timer
0x02843800, vexabc1_gp_ve32_tile_ctrl
0x02844000, vexabc1_dmem_ve32_bp_cfg
0x02848000, vexabc1_pmem_ve32_bp_cfg
0x02868000, vexabc1_vmem_ve32_simd0
0x02878000, vexabc1_lutmem_ve32_simd0
0x02880000, vexabc2_sc_ve32_cell
0x02881000, vexabc2_c2s_cio2strm
0x02882000, vexabc2_s2c_strm2cio
0x02883000, vexabc2_tm_ve32_tile_timer
0x02883800, vexabc2_gp_ve32_tile_ctrl
0x02884000, vexabc2_dmem_ve32_bp_cfg
0x02888000, vexabc2_pmem_ve32_bp_cfg
0x028a8000, vexabc2_vmem_ve32_simd0
0x028b8000, vexabc2_lutmem_ve32_simd0
0x028c0000, vexabc3_sc_ve32_cell
0x028c1000, vexabc3_c2s_cio2strm
0x028c2000, vexabc3_s2c_strm2cio
0x028c3000, vexabc3_tm_ve32_tile_timer
0x028c3800, vexabc3_gp_ve32_tile_ctrl
0x028c4000, vexabc3_dmem_ve32_bp_cfg
0x028c8000, vexabc3_pmem_ve32_bp_cfg
0x028e8000, vexabc3_vmem_ve32_simd0
0x028f8000, vexabc3_lutmem_ve32_simd0
0x02900000, vexabc4_sc_ve32_cell
0x02901000, vexabc4_c2s_cio2strm
0x02902000, vexabc4_s2c_strm2cio
0x02903000, vexabc4_tm_ve32_tile_timer
0x02903800, vexabc4_gp_ve32_tile_ctrl
0x02904000, vexabc4_dmem_ve32_bp_cfg
0x02908000, vexabc4_pmem_ve32_bp_cfg
0x02928000, vexabc4_vmem_ve32_simd0
0x02938000, vexabc4_lutmem_ve32_simd0
0x02940000, vexabc5_sc_ve32_cell
0x02941000, vexabc5_c2s_cio2strm
0x02942000, vexabc5_s2c_strm2cio
0x02943000, vexabc5_tm_ve32_tile_timer
0x02943800, vexabc5_gp_ve32_tile_ctrl
